player;minutes;Pases;Shot_Assist;Assist;Centros_Area;Porc_Pase;Regates_Int;Regates_Comp;Recuperaciones;Despejes;Perdidas;Errores;Tiros;xG_per_90;Goles;position;Pases_perc;Shot_Assist_perc;Assist_perc;Centros_Area_perc;Porc_Pase_perc;Regates_Int_perc;Regates_Comp_perc;Recuperaciones_perc;Despejes_perc;Tiros_perc;xG_per_90_perc;Goles_perc;Perdidas_perc;Errores_perc
Ralf Fährmann;3059;39.21869892121608;0.0;0.0;0.0;70.14253563390848;0.0;0.0;5.148741418764303;0.0;0.0;0.029421379535796;0.0;0.0;0.0;GK;44.0;16.0;31.0;17.0;20.0;7.0;9.0;62.0;50.0;8.0;8.0;46.0;92.0;18.0
Manuel Neuer;3110;37.27331189710611;0.0;0.0;0.0;84.3944099378882;0.0578778135048231;0.0578778135048231;4.051446945337621;0.0;0.0;0.1157556270096463;0.0;0.0;0.0;GK;40.0;16.0;31.0;17.0;66.0;16.0;19.0;36.0;50.0;8.0;8.0;46.0;92.0;3.0
Lukáš Hrádecký;3060;39.47058823529412;0.0;0.0;0.0;64.97764530551416;0.0;0.0;5.882352941176471;0.0;0.0;0.0294117647058823;0.0;0.0;0.0;GK;45.0;16.0;31.0;17.0;11.0;7.0;9.0;76.0;50.0;8.0;8.0;46.0;92.0;18.0
Ron-Robert Zieler;3060;36.08823529411765;0.0;0.0;0.0;71.23064384678077;0.0;0.0;5.5;0.0;0.0;0.0;0.0;0.0;0.0;GK;37.0;16.0;31.0;17.0;23.0;7.0;9.0;69.0;50.0;8.0;8.0;46.0;92.0;60.0
Rune Almenning Jarstein;2565;49.08771929824561;0.0;0.0;0.0;65.47533952823446;0.0350877192982456;0.0350877192982456;4.596491228070176;0.0;0.0;0.0701754385964912;0.0;0.0;0.0;GK;69.0;16.0;31.0;17.0;11.0;15.0;18.0;48.0;50.0;8.0;8.0;46.0;92.0;7.0
René Adler;2199;34.010914051841745;0.0;0.0409276944065484;0.0;56.317689530685925;0.0409276944065484;0.0409276944065484;5.361527967257844;0.0;0.0;0.0;0.0;0.0;0.0;GK;32.0;16.0;64.0;17.0;3.0;15.0;19.0;66.0;50.0;8.0;8.0;46.0;92.0;60.0
Christian Mathenia;2970;32.333333333333336;0.0606060606060606;0.0;0.0;46.57919400187441;0.0;0.0;5.424242424242425;0.0;0.0;0.0;0.0;0.0;0.0;GK;28.0;38.0;31.0;17.0;1.0;7.0;9.0;67.0;50.0;8.0;8.0;46.0;92.0;60.0
Loris Karius;3060;37.20588235294117;0.0;0.0;0.0;61.42292490118577;0.0294117647058823;0.0294117647058823;5.441176470588236;0.0;0.0;0.0294117647058823;0.0;0.0;0.0;GK;39.0;16.0;31.0;17.0;6.0;14.0;18.0;68.0;50.0;8.0;8.0;46.0;92.0;18.0
Oliver Baumann;2970;44.78787878787879;0.0606060606060606;0.0;0.0;66.71177266576454;0.0;0.0;6.212121212121213;0.0;0.0303030303030303;0.0606060606060606;0.0;0.0;0.0;GK;57.0;38.0;31.0;17.0;14.0;7.0;9.0;82.0;50.0;8.0;8.0;46.0;84.0;9.0
Roman Bürki;2970;30.666666666666664;0.0;0.0;0.0;77.86561264822134;0.0606060606060606;0.0606060606060606;4.333333333333333;0.0;0.0;0.1515151515151515;0.0;0.0;0.0;GK;24.0;16.0;31.0;17.0;45.0;16.0;19.0;43.0;50.0;8.0;8.0;46.0;92.0;2.0
Diego Orlando Benaglio;1890;34.904761904761905;0.0;0.0;0.0;81.85538881309687;0.0;0.0;5.809523809523809;0.0;0.0;0.0952380952380952;0.0;0.0;0.0;GK;34.0;16.0;31.0;17.0;59.0;7.0;9.0;75.0;50.0;8.0;8.0;46.0;92.0;5.0
Przemysław Tytoń;2700;30.633333333333333;0.0333333333333333;0.0;0.0;62.35038084874864;0.0;0.0;5.5;0.0;0.0;0.0333333333333333;0.0;0.0;0.0;GK;23.0;34.0;31.0;17.0;7.0;7.0;9.0;69.0;50.0;8.0;8.0;46.0;92.0;16.0
Marwin Hitz;2966;37.29265003371544;0.0303438975050573;0.0;0.0;68.51098454027664;0.0;0.0;4.763991908293998;0.0;0.0;0.0;0.0;0.0;0.0;GK;40.0;33.0;31.0;17.0;17.0;7.0;9.0;52.0;50.0;8.0;8.0;46.0;92.0;60.0
Felix Wiedwald;3060;30.38235294117647;0.0;0.0;0.0;64.56921587608906;0.0294117647058823;0.0294117647058823;4.676470588235294;0.0;0.0;0.0;0.0294117647058823;0.0020406714705882;0.0;GK;23.0;16.0;31.0;17.0;10.0;14.0;18.0;50.0;50.0;17.0;18.0;46.0;92.0;60.0
Koen Casteels;1170;37.38461538461539;0.0;0.0;0.0;74.48559670781893;0.0;0.0;5.153846153846153;0.0;0.0769230769230769;0.0;0.0;0.0;0.0;GK;40.0;16.0;31.0;17.0;33.0;7.0;9.0;62.0;50.0;8.0;8.0;46.0;83.0;60.0
Timo Horn;2970;30.39393939393939;0.0303030303030303;0.0;0.0;63.21036889332004;0.0;0.0;4.484848484848484;0.0;0.0;0.0606060606060606;0.0;0.0;0.0;GK;23.0;33.0;31.0;17.0;8.0;7.0;9.0;46.0;50.0;8.0;8.0;46.0;92.0;9.0
Bernd Leno;2970;33.090909090909086;0.0606060606060606;0.0;0.0;69.96336996336996;0.0;0.0;5.3939393939393945;0.0;0.0303030303030303;0.0606060606060606;0.0;0.0;0.0;GK;30.0;38.0;31.0;17.0;20.0;7.0;9.0;67.0;50.0;8.0;8.0;46.0;84.0;9.0
Yann Sommer;2880;42.96875;0.0;0.0;0.0;72.14545454545454;0.0;0.0;5.0625;0.0;0.0;0.03125;0.0;0.0;0.0;GK;53.0;16.0;31.0;17.0;26.0;7.0;9.0;59.0;50.0;8.0;8.0;46.0;92.0;17.0
Ramazan Özcan;2520;39.35714285714285;0.0;0.0;0.0;50.72595281306715;0.1428571428571428;0.1071428571428571;5.357142857142857;0.0;0.0;0.0357142857142857;0.0;0.0;0.0;GK;44.0;16.0;31.0;17.0;1.0;18.0;22.0;66.0;50.0;8.0;8.0;46.0;92.0;15.0
Benoît Guy Robert Costil;2790;29.387096774193548;0.0;0.0;0.0;62.23929747530187;0.0;0.0;4.451612903225806;0.0;0.0;0.064516129032258;0.0;0.0;0.0;GK;20.0;16.0;31.0;17.0;7.0;7.0;9.0;45.0;50.0;8.0;8.0;46.0;92.0;8.0
Benjamin Lecomte;3420;32.73684210526316;0.0789473684210526;0.0;0.0;59.88745980707395;0.0;0.0;5.026315789473684;0.0;0.0;0.0;0.0;0.0;0.0;GK;29.0;40.0;31.0;17.0;5.0;7.0;9.0;58.0;50.0;8.0;8.0;46.0;92.0;60.0
Steve Mandanda;3330;37.37837837837838;0.0;0.0;0.0;70.5712219812003;0.0;0.0;5.081081081081082;0.0;0.0;0.0;0.0;0.0;0.0;GK;40.0;16.0;31.0;17.0;22.0;7.0;9.0;60.0;50.0;8.0;8.0;46.0;92.0;60.0
Clément Maury;2970;38.51515151515152;0.0606060606060606;0.0;0.0;62.31313926042487;0.0606060606060606;0.0303030303030303;7.454545454545455;0.0;0.0;0.0303030303030303;0.0;0.0;0.0;GK;42.0;38.0;31.0;17.0;7.0;16.0;18.0;94.0;50.0;8.0;8.0;46.0;92.0;18.0
Rémy Riou;2790;34.0;0.064516129032258;0.0;0.0;65.18026565464896;0.0;0.0;5.774193548387097;0.0;0.0;0.0;0.0;0.0;0.0;GK;32.0;38.0;31.0;17.0;11.0;7.0;9.0;74.0;50.0;8.0;8.0;46.0;92.0;60.0
Stéphane Ruffier;3330;32.16216216216216;0.027027027027027;0.0;0.0;62.94117647058823;0.0;0.0;4.72972972972973;0.0;0.0;0.0;0.0;0.0;0.0;GK;27.0;32.0;31.0;17.0;8.0;7.0;9.0;51.0;50.0;8.0;8.0;46.0;92.0;60.0
Matthieu Dreyer;1260;31.857142857142858;0.0714285714285714;0.0;0.0;67.2645739910314;0.0;0.0;5.357142857142857;0.0;0.0;0.0;0.0;0.0;0.0;GK;26.0;39.0;31.0;17.0;14.0;7.0;9.0;66.0;50.0;8.0;8.0;46.0;92.0;60.0
Jean-Louis Leca;3002;34.087275149900066;0.0;0.0;0.0;54.177660510114336;0.0;0.0;5.366422385076616;0.0;0.0;0.0;0.0;0.0;0.0;GK;32.0;16.0;31.0;17.0;2.0;7.0;9.0;66.0;50.0;8.0;8.0;46.0;92.0;60.0
Cédric Carrasso;1714;30.507584597432903;0.0;0.0;0.0;63.16695352839932;0.0;0.0;5.198366394399066;0.0;0.0;0.0525087514585764;0.0;0.0;0.0;GK;23.0;16.0;31.0;17.0;8.0;7.0;9.0;63.0;50.0;8.0;8.0;46.0;92.0;10.0
Anthony Lopes;3330;28.783783783783782;0.0;0.0;0.0;72.76995305164318;0.027027027027027;0.027027027027027;4.486486486486487;0.0;0.0;0.0;0.0;0.0;0.0;GK;19.0;16.0;31.0;17.0;28.0;14.0;17.0;46.0;50.0;8.0;8.0;46.0;92.0;60.0
Danijel Subašić;3240;26.972222222222225;0.0277777777777777;0.0;0.0;61.89495365602472;0.0833333333333333;0.0833333333333333;4.166666666666666;0.0;0.0277777777777777;0.0;0.0;0.0;0.0;GK;14.0;32.0;31.0;17.0;7.0;16.0;20.0;39.0;50.0;8.0;8.0;46.0;85.0;60.0
Jonas Lössl;3330;30.135135135135137;0.0;0.0;0.0;58.38565022421525;0.027027027027027;0.027027027027027;5.648648648648649;0.0;0.0;0.027027027027027;0.0;0.0;0.0;GK;22.0;16.0;31.0;17.0;4.0;14.0;17.0;72.0;50.0;8.0;8.0;46.0;92.0;19.0
Kevin Trapp;3015;26.179104477611936;0.0;0.0;0.0;85.29076396807298;0.0;0.0;3.044776119402985;0.0;0.0298507462686567;0.1194029850746268;0.0;0.0;0.0;GK;13.0;16.0;31.0;17.0;69.0;7.0;9.0;17.0;50.0;8.0;8.0;46.0;84.0;3.0
Alexandre Letellier;1530;27.705882352941178;0.1176470588235294;0.0;0.0;63.26963906581741;0.0;0.0;4.117647058823529;0.0;0.0;0.1176470588235294;0.0;0.0;0.0;GK;16.0;45.0;31.0;17.0;8.0;7.0;9.0;37.0;50.0;8.0;8.0;46.0;92.0;3.0
Laurent Pionnier;2250;27.28;0.08;0.0;0.04;59.09090909090909;0.04;0.04;5.08;0.0;0.0;0.0;0.0;0.0;0.0;GK;15.0;40.0;31.0;37.0;4.0;15.0;19.0;59.0;50.0;8.0;8.0;46.0;92.0;60.0
Alban Lafont;2234;27.7170993733214;0.0;0.0;0.0;52.32558139534884;0.0;0.0;5.478961504028648;0.0;0.0;0.0805729632945389;0.0;0.0;0.0;GK;16.0;16.0;31.0;17.0;2.0;7.0;9.0;68.0;50.0;8.0;8.0;46.0;92.0;6.0
Vincent Enyeama;3150;31.257142857142856;0.0285714285714285;0.0;0.0;62.43144424131627;0.0;0.0;5.085714285714285;0.0;0.0285714285714285;0.0285714285714285;0.0;0.0;0.0;GK;25.0;32.0;31.0;17.0;7.0;7.0;9.0;60.0;50.0;8.0;8.0;46.0;84.0;19.0
Rémy Vercoutre;3420;27.42105263157895;0.0;0.0;0.0;60.076775431861805;0.0263157894736842;0.0263157894736842;4.7368421052631575;0.0;0.0;0.0526315789473684;0.0;0.0;0.0;GK;16.0;16.0;31.0;17.0;5.0;14.0;17.0;51.0;50.0;8.0;8.0;46.0;92.0;10.0
Yoan Cardinale;2307;27.932379713914177;0.0;0.0;0.0;69.83240223463687;0.0390117035110533;0.0390117035110533;4.720416124837451;0.0;0.0;0.0;0.0;0.0;0.0;GK;17.0;16.0;31.0;17.0;20.0;15.0;18.0;51.0;50.0;8.0;8.0;46.0;92.0;60.0
Johny Placide;1619;30.29647930821495;0.0555898702903026;0.0;0.0;58.53211009174312;0.0;0.0;5.7257566399011735;0.0;0.0;0.1111797405806053;0.0;0.0;0.0;GK;22.0;37.0;31.0;17.0;4.0;7.0;9.0;73.0;50.0;8.0;8.0;46.0;92.0;4.0
Paul Bernardoni;1890;32.095238095238095;0.0476190476190476;0.0;0.0;51.48367952522255;0.0;0.0;5.619047619047619;0.0;0.0;0.0952380952380952;0.0;0.0;0.0;GK;27.0;36.0;31.0;17.0;2.0;7.0;9.0;71.0;50.0;8.0;8.0;46.0;92.0;5.0
Mouez Hassen;1138;26.652021089630928;0.0;0.0;0.0;58.45697329376854;0.0;0.0;4.349736379613357;0.0;0.0;0.0;0.0;0.0;0.0;GK;14.0;16.0;31.0;17.0;4.0;7.0;9.0;43.0;50.0;8.0;8.0;46.0;92.0;60.0
Ludovic Butelle;1710;28.26315789473684;0.0;0.0;0.0;66.29422718808193;0.0526315789473684;0.0526315789473684;5.263157894736842;0.0;0.0;0.0;0.0;0.0;0.0;GK;17.0;16.0;31.0;17.0;12.0;15.0;19.0;64.0;50.0;8.0;8.0;46.0;92.0;60.0
Marco Sportiello;3240;30.111111111111114;0.0;0.0;0.0;59.96309963099631;0.0277777777777777;0.0277777777777777;5.111111111111112;0.0;0.0277777777777777;0.0833333333333333;0.0;0.0;0.0;GK;22.0;16.0;31.0;17.0;5.0;14.0;18.0;60.0;50.0;8.0;8.0;46.0;85.0;6.0
Orestis Karnezis;3510;28.07692307692308;0.0;0.0;0.0;57.44292237442923;0.0;0.0;4.564102564102564;0.0;0.0;0.0;0.0;0.0;0.0;GK;17.0;16.0;31.0;17.0;3.0;7.0;9.0;48.0;50.0;8.0;8.0;46.0;92.0;60.0
Nicola Leali;3060;28.85294117647059;0.0;0.0;0.0;59.73496432212029;0.0;0.0;3.823529411764706;0.0;0.0;0.0588235294117647;0.0;0.0;0.0;GK;19.0;16.0;31.0;17.0;5.0;7.0;9.0;30.0;50.0;8.0;8.0;46.0;92.0;9.0
Daniele Padelli;3150;30.65714285714285;0.0;0.0;0.0;75.0232991612302;0.0571428571428571;0.0571428571428571;4.228571428571429;0.0;0.0;0.0;0.0;0.0;0.0;GK;24.0;16.0;31.0;17.0;35.0;15.0;19.0;40.0;50.0;8.0;8.0;46.0;92.0;60.0
José Manuel Reina Páez;3330;29.81081081081081;0.0;0.0;0.0;83.59020852221215;0.0;0.0;4.864864864864865;0.0;0.0;0.0;0.0;0.0;0.0;GK;21.0;16.0;31.0;17.0;64.0;7.0;9.0;54.0;50.0;8.0;8.0;46.0;92.0;60.0
Samir Handanovič;3240;27.33333333333333;0.0;0.0;0.0;76.52439024390245;0.0277777777777777;0.0;4.333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;GK;15.0;16.0;31.0;17.0;40.0;14.0;9.0;43.0;50.0;8.0;8.0;46.0;92.0;60.0
Federico Marchetti;2547;28.939929328621908;0.0;0.0;0.0;72.77167277167277;0.0353356890459364;0.0353356890459364;5.088339222614841;0.0;0.0353356890459364;0.0;0.0;0.0;0.0;GK;19.0;16.0;31.0;17.0;28.0;15.0;18.0;60.0;50.0;8.0;8.0;46.0;84.0;60.0
Anton Ciprian Tătărușanu;3310;30.670694864048336;0.0;0.0;0.0;78.45744680851064;0.0271903323262839;0.0271903323262839;4.1057401812688825;0.0;0.0;0.0271903323262839;0.0;0.0;0.0;GK;24.0;16.0;31.0;17.0;47.0;14.0;17.0;37.0;50.0;8.0;8.0;46.0;92.0;19.0
Wojciech Szczęsny;3060;36.52941176470589;0.0;0.0;0.0;74.7181964573269;0.0588235294117647;0.0588235294117647;4.823529411764706;0.0;0.0;0.0;0.0;0.0;0.0;GK;38.0;16.0;31.0;17.0;34.0;16.0;19.0;53.0;50.0;8.0;8.0;46.0;92.0;60.0
Łukasz Skorupski;2880;27.6875;0.0;0.0;0.0;75.5079006772009;0.0;0.0;4.625;0.0;0.0;0.03125;0.03125;0.006597103125;0.0;GK;16.0;16.0;31.0;17.0;37.0;7.0;9.0;49.0;50.0;17.0;21.0;46.0;92.0;17.0
Andrea Consigli;3330;35.567567567567565;0.0;0.0;0.0;72.49240121580547;0.027027027027027;0.027027027027027;5.216216216216217;0.0;0.0;0.054054054054054;0.0;0.0;0.0;GK;36.0;16.0;31.0;17.0;27.0;14.0;17.0;63.0;50.0;8.0;8.0;46.0;92.0;10.0
Antonio Mirante;2970;33.666666666666664;0.0;0.0;0.0;62.82628262826283;0.0909090909090909;0.0909090909090909;5.727272727272727;0.0;0.0;0.0303030303030303;0.0;0.0;0.0;GK;31.0;16.0;31.0;17.0;8.0;17.0;21.0;73.0;50.0;8.0;8.0;46.0;92.0;18.0
