player;minutes;Pases;Shot_Assist;Assist;Centros_Area;Porc_Pase;Regates_Int;Regates_Comp;Recuperaciones;Despejes;Perdidas;Errores;Tiros;xG_per_90;Goles;position;Pases_perc;Shot_Assist_perc;Assist_perc;Centros_Area_perc;Porc_Pase_perc;Regates_Int_perc;Regates_Comp_perc;Recuperaciones_perc;Despejes_perc;Tiros_perc;xG_per_90_perc;Goles_perc;Perdidas_perc;Errores_perc
Gianluigi Donnarumma;2628;31.0958904109589;0.0;0.0;0.0;72.24669603524228;0.0;0.0;5.068493150684931;0.0;0.0;0.0;0.0;0.0;0.0;GK;25.0;16.0;31.0;17.0;26.0;7.0;9.0;59.0;50.0;8.0;8.0;46.0;92.0;60.0
Emiliano Viviano;3330;35.972972972972975;0.0;0.0;0.0;62.2839969947408;0.0;0.0;5.351351351351352;0.0;0.0;0.081081081081081;0.0;0.0;0.0;GK;36.0;16.0;31.0;17.0;7.0;7.0;9.0;66.0;50.0;8.0;8.0;46.0;92.0;6.0
Albano Benjamín Bizzarri;3150;31.4;0.0;0.0;0.0;58.78070973612375;0.0571428571428571;0.0571428571428571;5.142857142857142;0.0;0.0;0.0285714285714285;0.0;0.0;0.0;GK;25.0;16.0;31.0;17.0;4.0;15.0;19.0;61.0;50.0;8.0;8.0;46.0;92.0;19.0
Gianluigi Buffon;3150;25.37142857142857;0.0;0.0;0.0;82.9954954954955;0.0;0.0;4.228571428571429;0.0;0.0;0.0;0.0;0.0;0.0;GK;12.0;16.0;31.0;17.0;62.0;7.0;9.0;40.0;50.0;8.0;8.0;46.0;92.0;60.0
Pierluigi Gollini;2320;32.702586206896555;0.0;0.0;0.0;60.26097271648872;0.0;0.0;5.314655172413793;0.0;0.0;0.0;0.0;0.0;0.0;GK;28.0;16.0;31.0;17.0;5.0;7.0;9.0;65.0;50.0;8.0;8.0;46.0;92.0;60.0
Stefano Sorrentino;3097;31.036486922828544;0.0;0.0;0.0;59.8314606741573;0.0290603810138844;0.0290603810138844;5.463351630610268;0.0;0.0;0.0;0.0;0.0;0.0;GK;24.0;16.0;31.0;17.0;5.0;14.0;18.0;68.0;50.0;8.0;8.0;46.0;92.0;60.0
Eugenio Lamanna;1170;27.307692307692307;0.0;0.0;0.0;69.85915492957746;0.0;0.0;4.230769230769231;0.0;0.0;0.0;0.0;0.0;0.0;GK;15.0;16.0;31.0;17.0;20.0;7.0;9.0;40.0;50.0;8.0;8.0;46.0;92.0;60.0
Vid Belec;2700;28.433333333333334;0.0;0.0;0.0;45.25205158264947;0.0333333333333333;0.0333333333333333;5.433333333333334;0.0;0.0;0.0;0.0;0.0;0.0;GK;18.0;16.0;31.0;17.0;1.0;15.0;18.0;67.0;50.0;8.0;8.0;46.0;92.0;60.0
Mattia Perin;2250;31.040000000000003;0.0;0.0;0.0;61.72680412371135;0.0;0.0;5.720000000000001;0.0;0.0;0.04;0.0;0.0;0.0;GK;25.0;16.0;31.0;17.0;7.0;7.0;9.0;73.0;50.0;8.0;8.0;46.0;92.0;14.0
Rafael de Andrade Bittencourt Pinheiro;1080;26.08333333333333;0.0;0.0;0.0;64.5367412140575;0.0;0.0;4.5;0.0;0.0;0.1666666666666666;0.0;0.0;0.0;GK;13.0;16.0;31.0;17.0;10.0;7.0;9.0;46.0;50.0;8.0;8.0;46.0;92.0;2.0
Artur Boruc;2880;28.53125;0.0;0.0;0.0625;100.0;0.03125;0.03125;4.9375;0.0;0.0;0.125;0.0;0.0;0.0;GK;18.0;16.0;31.0;40.0;90.0;14.0;18.0;56.0;50.0;8.0;8.0;46.0;92.0;3.0
Kasper Schmeichel;3420;32.10526315789473;0.0;0.0263157894736842;0.1578947368421052;100.0;0.0263157894736842;0.0263157894736842;5.605263157894737;0.0;0.0;0.0;0.0;0.0;0.0;GK;27.0;16.0;62.0;49.0;90.0;14.0;17.0;71.0;50.0;8.0;8.0;46.0;92.0;60.0
Glyn Oliver Myhill;2160;27.541666666666668;0.0;0.0;0.0;100.0;0.0;0.0;4.666666666666667;0.0;0.0;0.0416666666666666;0.0;0.0;0.0;GK;16.0;16.0;31.0;17.0;90.0;7.0;9.0;50.0;50.0;8.0;8.0;46.0;92.0;13.0
Costel Fane Pantilimon;1530;32.94117647058823;0.0;0.0;0.0588235294117647;100.0;0.0;0.0;5.235294117647059;0.0;0.0;0.0588235294117647;0.0;0.0;0.0;GK;29.0;16.0;31.0;39.0;90.0;7.0;9.0;64.0;50.0;8.0;8.0;46.0;92.0;9.0
Bradley Guzan;2520;30.0;0.0;0.0;0.0357142857142857;100.0;0.0;0.0;5.0;0.0;0.0;0.0714285714285714;0.0;0.0;0.0;GK;22.0;16.0;31.0;36.0;90.0;7.0;9.0;57.0;50.0;8.0;8.0;46.0;92.0;7.0
Rob Elliot;1890;32.76190476190476;0.0;0.0;0.0476190476190476;100.0;0.0;0.0;4.428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;GK;29.0;16.0;31.0;38.0;90.0;7.0;9.0;44.0;50.0;8.0;8.0;46.0;92.0;60.0
Tim Howard;2250;32.2;0.0;0.0;0.0;100.0;0.04;0.04;5.680000000000001;0.0;0.0;0.0;0.0;0.0;0.0;GK;27.0;16.0;31.0;17.0;90.0;15.0;19.0;72.0;50.0;8.0;8.0;46.0;92.0;60.0
Heurelho da Silva Gomes;3486;29.225473321858864;0.0;0.0;0.0;100.0;0.0;0.0;5.731497418244406;0.0;0.0258175559380378;0.0;0.0;0.0;0.0;GK;20.0;16.0;31.0;17.0;90.0;7.0;9.0;73.0;50.0;8.0;8.0;46.0;85.0;60.0
Wayne Hennessey;2610;29.96551724137931;0.0;0.0;0.0;100.0;0.0;0.0;4.586206896551724;0.0;0.0;0.0689655172413793;0.0;0.0;0.0;GK;21.0;16.0;31.0;17.0;90.0;7.0;9.0;48.0;50.0;8.0;8.0;46.0;92.0;8.0
Petr Čech;3150;29.6;0.0;0.0285714285714285;0.0571428571428571;100.0;0.0571428571428571;0.0571428571428571;4.914285714285715;0.0;0.0285714285714285;0.0285714285714285;0.0;0.0;0.0;GK;21.0;16.0;62.0;39.0;90.0;15.0;19.0;55.0;50.0;8.0;8.0;46.0;84.0;19.0
Ben Foster;1350;27.2;0.0;0.0;0.0;100.0;0.0;0.0;4.800000000000001;0.0;0.0;0.0;0.0;0.0;0.0;GK;15.0;16.0;31.0;17.0;90.0;7.0;9.0;53.0;50.0;8.0;8.0;46.0;92.0;60.0
Hugo Lloris;3330;32.891891891891895;0.0;0.027027027027027;0.081081081081081;100.0;0.0;0.0;4.8108108108108105;0.0;0.0;0.081081081081081;0.0;0.0;0.0;GK;29.0;16.0;62.0;42.0;90.0;7.0;9.0;53.0;50.0;8.0;8.0;46.0;92.0;6.0
Joe Hart;3109;24.54808620135092;0.0;0.0;0.0578964297201672;100.0;0.0289482148600836;0.0289482148600836;4.168542939852043;0.0;0.0;0.0289482148600836;0.0;0.0;0.0;GK;11.0;16.0;31.0;39.0;90.0;14.0;18.0;39.0;50.0;8.0;8.0;46.0;92.0;19.0
Joel Robles Blázquez;1170;36.53846153846154;0.0;0.0;0.0;100.0;0.0769230769230769;0.0769230769230769;5.384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;GK;38.0;16.0;31.0;17.0;90.0;16.0;20.0;67.0;50.0;8.0;8.0;46.0;92.0;60.0
John Ruddy;2430;33.51851851851852;0.0;0.037037037037037;0.0;100.0;0.037037037037037;0.037037037037037;5.962962962962963;0.0;0.037037037037037;0.037037037037037;0.0;0.0;0.0;GK;30.0;16.0;63.0;17.0;90.0;15.0;18.0;77.0;50.0;8.0;8.0;46.0;84.0;15.0
Vito Mannone;1710;33.31578947368421;0.0;0.0;0.0;100.0;0.0;0.0;5.842105263157894;0.0;0.0;0.0;0.0;0.0;0.0;GK;30.0;16.0;31.0;17.0;90.0;7.0;9.0;76.0;50.0;8.0;8.0;46.0;92.0;60.0
Asmir Begović;1399;26.375982844889204;0.0;0.0;0.0;100.0;0.0;0.0;3.538241601143674;0.0;0.0;0.128663330950679;0.0;0.0;0.0;GK;14.0;16.0;31.0;17.0;90.0;7.0;9.0;24.0;50.0;8.0;8.0;46.0;92.0;3.0
Simon Mignolet;3060;27.47058823529412;0.0;0.0;0.0;100.0;0.1176470588235294;0.1176470588235294;4.735294117647059;0.0;0.0;0.0588235294117647;0.0;0.0;0.0;GK;16.0;16.0;31.0;17.0;90.0;18.0;22.0;51.0;50.0;8.0;8.0;46.0;92.0;9.0
David de Gea Quintana;3060;28.11764705882353;0.0;0.0588235294117647;0.0;100.0;0.0;0.0;3.911764705882353;0.0;0.0;0.0;0.0;0.0;0.0;GK;17.0;16.0;68.0;17.0;90.0;7.0;9.0;32.0;50.0;8.0;8.0;46.0;92.0;60.0
Jack Butland;2790;32.67741935483871;0.0;0.0;0.032258064516129;100.0;0.032258064516129;0.032258064516129;6.161290322580645;0.0;0.0;0.0967741935483871;0.0;0.0;0.0;GK;28.0;16.0;31.0;35.0;90.0;15.0;18.0;81.0;50.0;8.0;8.0;46.0;92.0;5.0
Adrián San Miguel del Castillo;2877;31.220020855057356;0.0;0.0;0.0;100.0;0.0312825860271115;0.0312825860271115;5.318039624608968;0.0;0.0312825860271115;0.0625651720542231;0.0;0.0;0.0;GK;25.0;16.0;31.0;17.0;90.0;14.0;18.0;65.0;50.0;8.0;8.0;46.0;84.0;8.0
Łukasz Fabiański;3330;32.75675675675676;0.0;0.0;0.081081081081081;100.0;0.0;0.0;4.45945945945946;0.0;0.027027027027027;0.081081081081081;0.027027027027027;0.0028161354054054;0.0;GK;29.0;16.0;31.0;42.0;90.0;7.0;9.0;45.0;50.0;17.0;18.0;46.0;85.0;6.0
Maarten Stekelenburg;1530;27.47058823529412;0.0;0.0;0.0588235294117647;100.0;0.0;0.0;4.588235294117647;0.0;0.0;0.0;0.0;0.0;0.0;GK;16.0;16.0;31.0;39.0;90.0;7.0;9.0;48.0;50.0;8.0;8.0;46.0;92.0;60.0
Thibaut Courtois;2070;27.73913043478261;0.0;0.0;0.0;100.0;0.0;0.0;4.869565217391305;0.0;0.0;0.0434782608695652;0.0;0.0;0.0;GK;16.0;16.0;31.0;17.0;90.0;7.0;9.0;55.0;50.0;8.0;8.0;46.0;92.0;13.0
Fraser Forster;1620;27.055555555555557;0.0;0.0;0.0;100.0;0.0555555555555555;0.0555555555555555;3.0;0.0;0.0;0.0;0.0;0.0;0.0;GK;15.0;16.0;31.0;17.0;90.0;15.0;19.0;16.0;50.0;8.0;8.0;46.0;92.0;60.0
Rubén Iván Martínez Andrade;1350;27.53333333333333;0.0;0.0;0.0;58.59564164648911;0.0;0.0;4.466666666666667;0.0;0.0;0.0;0.0;0.0;0.0;GK;16.0;16.0;31.0;17.0;4.0;7.0;9.0;45.0;50.0;8.0;8.0;46.0;92.0;60.0
Asier Riesgo Unamuno;3060;31.352941176470587;0.0294117647058823;0.0;0.0;51.12570356472796;0.0;0.0;6.205882352941177;0.0;0.0;0.088235294117647;0.0;0.0;0.0;GK;25.0;33.0;31.0;17.0;2.0;7.0;9.0;82.0;50.0;8.0;8.0;46.0;92.0;5.0
Sergio Rico González;3060;30.0;0.0;0.0;0.0;69.11764705882352;0.0;0.0;4.705882352941177;0.0;0.0;0.0588235294117647;0.0;0.0;0.0;GK;22.0;16.0;31.0;17.0;18.0;7.0;9.0;51.0;50.0;8.0;8.0;46.0;92.0;9.0
Javier Varas Herrera;2790;39.38709677419354;0.0;0.0;0.0;64.86486486486487;0.0967741935483871;0.0967741935483871;5.67741935483871;0.0;0.0;0.0;0.0;0.0;0.0;GK;44.0;16.0;31.0;17.0;10.0;17.0;21.0;72.0;50.0;8.0;8.0;46.0;92.0;60.0
Vicente Guaita Panadero;3420;30.342105263157897;0.0526315789473684;0.0;0.0;55.33391153512576;0.0263157894736842;0.0263157894736842;4.578947368421052;0.0;0.0;0.0526315789473684;0.0;0.0;0.0;GK;23.0;36.0;31.0;17.0;3.0;14.0;17.0;48.0;50.0;8.0;8.0;46.0;92.0;10.0
Diego Mariño Villar;2160;34.541666666666664;0.0833333333333333;0.0;0.0;72.01447527141134;0.0416666666666666;0.0416666666666666;5.458333333333333;0.0;0.0;0.0;0.0;0.0;0.0;GK;33.0;40.0;31.0;17.0;25.0;15.0;19.0;68.0;50.0;8.0;8.0;46.0;92.0;60.0
Pau López Sabata;3195;27.577464788732392;0.0;0.0;0.0;58.01838610827375;0.0;0.0;4.816901408450704;0.0;0.0;0.056338028169014;0.0;0.0;0.0;GK;16.0;16.0;31.0;17.0;4.0;7.0;9.0;53.0;50.0;8.0;8.0;46.0;92.0;10.0
Iván Cuéllar Sacristán;2880;31.84375;0.09375;0.0;0.0;47.00686947988223;0.0;0.0;5.03125;0.0;0.0;0.0625;0.0;0.0;0.0;GK;26.0;42.0;31.0;17.0;1.0;7.0;9.0;58.0;50.0;8.0;8.0;46.0;92.0;8.0
Keylor Navas Gamboa;3060;26.61764705882353;0.0294117647058823;0.0;0.0;71.27071823204419;0.0;0.0;4.264705882352941;0.0;0.0;0.0588235294117647;0.0;0.0;0.0;GK;14.0;33.0;31.0;17.0;24.0;7.0;9.0;41.0;50.0;8.0;8.0;46.0;92.0;9.0
Gorka Iraizoz Moreno;3330;36.729729729729726;0.081081081081081;0.0;0.0;64.532744665195;0.0;0.0;5.324324324324325;0.0;0.0;0.054054054054054;0.0;0.0;0.0;GK;38.0;40.0;31.0;17.0;10.0;7.0;9.0;65.0;50.0;8.0;8.0;46.0;92.0;10.0
Sergio Álvarez Conde;2726;33.04842259721203;0.0;0.0;0.0;61.23876123876124;0.0;0.0;4.523110785033016;0.0;0.0;0.033015407190022;0.0;0.0;0.0;GK;29.0;16.0;31.0;17.0;6.0;7.0;9.0;47.0;50.0;8.0;8.0;46.0;92.0;16.0
Jan Oblak;3510;20.97435897435897;0.0256410256410256;0.0;0.0;54.52322738386308;0.0256410256410256;0.0256410256410256;3.4615384615384617;0.0;0.0;0.0256410256410256;0.0;0.0;0.0;GK;6.0;32.0;31.0;17.0;2.0;14.0;17.0;23.0;50.0;8.0;8.0;46.0;92.0;20.0
Gerónimo Rulli;3240;34.72222222222222;0.0277777777777777;0.0;0.0277777777777777;65.44;0.0555555555555555;0.0555555555555555;4.388888888888888;0.0;0.0;0.0555555555555555;0.0;0.0;0.0;GK;34.0;32.0;31.0;34.0;11.0;15.0;19.0;44.0;50.0;8.0;8.0;46.0;92.0;10.0
Jaume Doménech Sánchez;1530;30.35294117647059;0.0588235294117647;0.0;0.0;61.240310077519375;0.0;0.0;4.0588235294117645;0.0;0.0;0.0;0.0;0.0;0.0;GK;23.0;37.0;31.0;17.0;6.0;7.0;9.0;36.0;50.0;8.0;8.0;46.0;92.0;60.0
Antonio Adán Garrido;3212;32.054794520547944;0.0560398505603985;0.0;0.0;46.32867132867133;0.0280199252801992;0.0280199252801992;4.651307596513076;0.0;0.0280199252801992;0.112079701120797;0.0;0.0;0.0;GK;27.0;37.0;31.0;17.0;1.0;14.0;18.0;50.0;50.0;8.0;8.0;46.0;85.0;4.0
Andrés Eduardo Fernández Moreno;3327;30.730387736699733;0.054102795311091;0.0;0.0;60.2112676056338;0.054102795311091;0.0270513976555455;5.734896302975654;0.0;0.0;0.0;0.0;0.0;0.0;GK;24.0;37.0;31.0;17.0;5.0;15.0;17.0;73.0;50.0;8.0;8.0;46.0;92.0;60.0
Juan Carlos Martín Corral;1804;37.86585365853659;0.0498891352549889;0.0;0.0;73.51778656126481;0.0498891352549889;0.0498891352549889;5.238359201773836;0.0;0.0;0.0498891352549889;0.0;0.0;0.0;GK;41.0;36.0;31.0;17.0;30.0;15.0;19.0;64.0;50.0;8.0;8.0;46.0;92.0;11.0
Diego Alves Carreira;1170;30.76923076923077;0.0;0.0;0.0;67.25;0.0769230769230769;0.0769230769230769;3.615384615384616;0.0;0.0;0.0;0.0;0.0;0.0;GK;24.0;16.0;31.0;17.0;14.0;16.0;20.0;26.0;50.0;8.0;8.0;46.0;92.0;60.0
Alphonse Areola;2880;26.90625;0.0;0.0;0.0;59.34959349593496;0.03125;0.03125;5.0;0.0;0.0;0.0;0.0;0.0;0.0;GK;14.0;16.0;31.0;17.0;4.0;14.0;18.0;57.0;50.0;8.0;8.0;46.0;92.0;60.0
Germán Darío Lux;2554;36.08457321848081;0.0352388410336726;0.0;0.0;55.859375;0.0352388410336726;0.0352388410336726;4.651527016444792;0.0;0.0;0.0;0.0;0.0;0.0;GK;37.0;34.0;31.0;17.0;3.0;15.0;18.0;50.0;50.0;8.0;8.0;46.0;92.0;60.0
Idriss Carlos Kameni;2466;28.54014598540146;0.0364963503649635;0.0;0.0;67.51918158567774;0.072992700729927;0.072992700729927;5.182481751824818;0.0;0.0;0.1824817518248175;0.0;0.0;0.0;GK;18.0;34.0;31.0;17.0;15.0;16.0;20.0;63.0;50.0;8.0;8.0;46.0;92.0;1.0
Claudio Andrés Bravo Muñoz;2878;31.39680333564976;0.0;0.0;0.0;85.55776892430279;0.0312717164697706;0.0312717164697706;3.72133425990271;0.0;0.0;0.0312717164697706;0.0;0.0;0.0;GK;25.0;16.0;31.0;17.0;69.0;14.0;18.0;28.0;50.0;8.0;8.0;46.0;92.0;17.0
